법인명,별칭,지역,홈페이지,공고수,최근공고,상장사감사인등록,대표자,소재지,회계사수,매출액,감사부문매출,세무부문매출,기타부문매출,기준연도,비고
NICE피앤아이,,서울 영등포구,https://www.nicepni.com/,1,2026-08-14,,,,,,,,,,
광교회계법인,,서울 전체,,1,2026-08-27,,,,,,,,,,
대주회계법인,,서울 강남구,,1,2026-08-03,,,,,,,,,,
대현회계법인,대현회게법인,서울 강남구,www.daehyuncpas.co.kr,1,2026-08-11,,,,,,,,,,
동성회계법인,,지역무관 지역무관,,1,2026-08-23,,,,,,,,,,
동현회계법인,,서울 강남구,,1,2026-08-19,,,,,,,,,,
삼원회계법인,삼원회계법인(성서지점),대구 달서구,http://www.samwonacc.co.kr,1,2026-08-18,,,,,,,,,,
새빛회계법인,,서울 용산구,https://www.forvismazars.com/kr/ko,1,2026-08-28,,,,,,,,,,
선일회계법인,,부산 남구,http://www.sunilac.com/,1,2026-08-12,,,,,,,,,,
선진회계법인,선진회계법인 대구지점,대구 전체,,1,2026-08-19,,,,,,,,,,
성현회계법인,,지역무관 지역무관,https://www.bdo.kr/ko-kr/home-ko,1,2026-08-24,,,,,,,,,,
세영회계법인,,대구 전체,,1,2026-08-24,,,,,,,,,,
신화회계법인,,서울 강남구,,1,2026-08-04,,,,,,,,,,
예지회계법인,,서울 강남구,,1,2026-08-20,,,,,,,,,,
정일회계법인,,서울 전체,,1,2026-08-12,,,,,,,,,,
