연번,회계법인명,회계법인 등록번호,주권상장법인 감사인 등록일
1,한영,제34호,2019-09-27
2,신우,제101호,2019-09-27
3,대주,제87호,2019-09-27
4,삼일,제8호,2019-09-27
5,신한,제2호,2019-09-27
6,안진,제61호,2019-09-27
7,삼정,제83호,2019-09-27
8,한울,제157호,2019-09-27
9,서현,제117호,2019-09-27
10,삼덕,제25호,2019-09-27
11,우리,제106호,2019-09-27
12,대성삼경,제111호,2019-09-27
13,성도이현,제120호,2019-09-27
14,도원,제116호,2019-09-27
15,이촌,제133호,2019-09-27
16,다산,제100호,2019-09-27
17,예일,제177호,2019-09-27
18,태성,제195호,2019-09-27
19,안경,제233호,2019-09-27
20,인덕,제97호,2019-09-27
21,세일원,제148호,2019-11-25
22,동아송강,제184호,2019-11-25
23,서우,제237호,2019-11-25
24,대현,제141호,2019-11-25
25,선일,제281호,2019-11-25
26,정동,제156호,2019-11-25
27,이정지율,제128호,2019-11-25
28,정진세림,제140호,2019-11-25
29,한미,제153호,2019-11-25
30,광교,제159호,2019-11-25
31,삼화,제112호,2019-12-13
32,현대,제180호,2019-12-13
33,예교지성,제200호,2019-12-27
34,삼도,제246호,2019-12-27
35,선진,제114호,2019-12-27
36,리안,제178호,2019-12-27
37,영앤진,제231호,2019-12-27
38,정인,제283호,2020-01-23
39,한길,제109호,2020-01-23
40,진일,제201호,2020-02-26
